id,BLOOM_pred_english,BLOOM_DYNABENCH_pred_english,LLAMA_pred_english,LLAMA_DYNABENCH_pred_english,ROBERTA_pred_english,BLOOMZ_FINETUNED_pred_english
49,0.0,0.0,0.0,0.0,1,1
59,0.0,0.0,0.0,0.0,1,1
59,0.0,0.0,0.0,0.0,1,0
139,0.0,0.0,0.0,0.0,1,1
139,0.0,0.0,0.0,0.0,1,0
158,0.0,0.0,0.0,0.0,0,1
198,0.0,0.0,0.0,0.0,1,0
210,0.0,0.0,0.0,0.0,0,1
306,0.0,0.0,0.0,0.0,0,1
309,0.0,0.0,0.0,0.0,1,1
309,0.0,0.0,0.0,0.0,1,0
328,0.0,0.0,0.0,0.0,0,0
331,0.0,0.0,0.0,0.0,0,1
346,0.0,0.0,0.0,0.0,1,0
389,0.0,0.0,0.0,0.0,0,0
389,0.0,0.0,0.0,0.0,0,1
429,0.0,0.0,0.0,0.0,1,1
439,0.0,0.0,0.0,0.0,1,0
490,0.0,0.0,0.0,0.0,0,0
490,0.0,0.0,0.0,0.0,0,1
541,0.0,0.0,0.0,0.0,1,1
551,0.0,0.0,0.0,0.0,1,1
673,0.0,0.0,0.0,0.0,0,0
673,0.0,0.0,0.0,0.0,0,1
782,0.0,0.0,0.0,0.0,1,1
819,0.0,0.0,0.0,0.0,0,1
916,0.0,0.0,0.0,0.0,0,1
1243,0.0,0.0,0.0,0.0,0,0
1274,0.0,0.0,0.0,0.0,0,1
1283,0.0,0.0,0.0,0.0,0,0
1283,0.0,0.0,0.0,0.0,0,1
1306,0.0,0.0,0.0,0.0,0,1
1356,0.0,0.0,0.0,0.0,0,0
1367,0.0,0.0,0.0,0.0,0,0
1492,0.0,0.0,0.0,0.0,0,1
1548,0.0,0.0,0.0,0.0,0,1
1617,0.0,0.0,0.0,0.0,1,1
1617,0.0,0.0,0.0,0.0,1,1
1617,0.0,0.0,0.0,0.0,1,0
1642,0.0,0.0,0.0,0.0,0,0
1643,0.0,0.0,0.0,0.0,0,0
1681,0.0,0.0,0.0,0.0,1,1
1695,0.0,0.0,0.0,0.0,0,1
1710,0.0,0.0,0.0,0.0,0,0
1716,0.0,0.0,0.0,0.0,0,0
1763,0.0,0.0,0.0,0.0,1,1
1763,0.0,0.0,0.0,0.0,1,0
1865,0.0,0.0,0.0,0.0,1,0
